id,brand,model,discipline,modelYear,priceText,productUrl,geometryKey
giant_defy-advanced-2,Giant,Defy Advanced 2,ROAD,2026,"$3,300",https://www.giant-bicycles.com/us/defy-advanced-2,defy-advanced-2
giant_defy-advanced-2025,Giant,Defy Advanced,ROAD,2025,"$5,200",https://www.giant-bicycles.com/us/bikes-defy-advanced-2025,defy-advanced-2025
giant_defy-advanced-eplus-elite-0,Giant,Defy Advanced E+ Elite 0,UNKNOWN,2026,"$12,000",https://www.giant-bicycles.com/us/defy-advanced-eplus-elite-0,defy-advanced-eplus-elite-0
giant_defy-advanced-eplus-elite-1,Giant,Defy Advanced E+ Elite 1,UNKNOWN,2026,"$9,900",https://www.giant-bicycles.com/us/defy-advanced-eplus-elite-1,defy-advanced-eplus-elite-1
giant_defy-advanced-eplus-elite-ar,Giant,Defy Advanced E+ Elite AR,UNKNOWN,2026,"$7,350",https://www.giant-bicycles.com/us/bikes-defy-advanced-eplus-elite-ar,defy-advanced-eplus-elite-ar
giant_contend-ar-1,Giant,Contend AR 1,ROAD,2026,"$2,200",https://www.giant-bicycles.com/us/contend-ar-1,contend-ar-1
giant_contend-ar-3,Giant,Contend AR 3,ROAD,2026,"$1,450",https://www.giant-bicycles.com/us/contend-ar-3,contend-ar-3
giant_contend-ar-2025,Giant,Contend AR,ROAD,2025,"$1,200",https://www.giant-bicycles.com/us/bikes-contend-ar-2025,contend-ar-2025
giant_contend-2025,Giant,Contend,ROAD,2025,$850 - $900,https://www.giant-bicycles.com/us/bikes-contend-2025,contend-2025
giant_trinity-advanced-sl-2025,Giant,Trinity Advanced SL,ROAD,2025,"$9,900",https://www.giant-bicycles.com/us/bikes-trinity-advanced-sl-2025,trinity-advanced-sl-2025
specialized_turbo-creo-2-comp-shimano-grx-di2,Specialized,Turbo Creo 2 Comp,ROAD,,"$6,999.99",https://www.specialized.com/us/en/turbo-creo-2-comp-shimano-grx-di2/p/4263260,turbo-creo-2-comp-shimano-grx-di2
specialized_s-works-aethos-2-sram-red-axs,Specialized,S-Works Aethos 2,ROAD,,"$13,999.99",https://www.specialized.com/us/en/s-works-aethos-2-sram-red-axs/p/4221563,s-works-aethos-2-sram-red-axs
specialized_s-works-aethos-2-shimano-dura-ace-di2,Specialized,S-Works Aethos 2,ROAD,,"$13,999.99",https://www.specialized.com/us/en/s-works-aethos-2-shimano-dura-ace-di2/p/4221562,s-works-aethos-2-shimano-dura-ace-di2
specialized_s-works-crux-sram-red-xplr,Specialized,S-Works Crux,ROAD,,"$11,999.99",https://www.specialized.com/us/en/s-works-crux-sram-red-xplr/p/4223487,s-works-crux-sram-red-xplr
specialized_tarmac-sl8-pro-shimano-ultegra-di2,Specialized,Tarmac SL8 Pro,ROAD,,"$8,499.99",https://www.specialized.com/us/en/tarmac-sl8-pro-shimano-ultegra-di2/p/4221576,tarmac-sl8-pro-shimano-ultegra-di2
specialized_s-works-turbo-creo-2-sram-red--xx1-eagle-axs,Specialized,S-Works Turbo Creo 2,ROAD,,"$14,399.99",https://www.specialized.com/us/en/s-works-turbo-creo-2-sram-red--xx1-eagle-axs/p/4221805,s-works-turbo-creo-2-sram-red--xx1-eagle-axs
specialized_s-works-tarmac-sl8-shimano-dura-ace-di2,Specialized,S-Works Tarmac SL8,ROAD,,"$13,499.99",https://www.specialized.com/us/en/s-works-tarmac-sl8-shimano-dura-ace-di2/p/4221553,s-works-tarmac-sl8-shimano-dura-ace-di2
